SNP,BetaXG,seBetaXG,Beta_CAD,se_CAD,Beta_T2D,se_T2D
rs1000,-0.056283,0.001826,-0.021436,0.001826,-0.033678,0.001826
rs1001,-0.034522,0.001826,-0.015899,0.001826,-0.020464,0.001826
rs1002,-0.051749,0.001826,-0.009859,0.001826,-0.027632,0.001826
rs1003,0.052336,0.001826,0.021853,0.001826,0.029653,0.001826
rs1004,-0.060268,0.001826,-0.0229,0.001826,-0.032855,0.001826
rs1005,-0.025394,0.001826,-0.010539,0.001826,-0.011792,0.001826
rs1006,0.032034,0.001826,0.019598,0.001826,0.016047,0.001826
rs1007,-0.055444,0.001826,-0.024143,0.001826,-0.029629,0.001826
rs1008,0.049497,0.001826,0.021454,0.001826,0.02951,0.001826
rs1009,0.02865,0.001826,0.011345,0.001826,0.01614,0.001826
rs1010,-0.039655,0.001826,-0.007215,0.001826,-0.016882,0.001826
rs1011,-0.027591,0.001826,-0.013704,0.001826,-0.018436,0.001826
rs1012,-0.027903,0.001826,-0.009297,0.001826,-0.013557,0.001826
rs1013,0.026878,0.001826,0.0083,0.001826,0.012364,0.001826
rs1014,-0.057732,0.001826,-0.023601,0.001826,-0.030005,0.001826
rs1015,-0.034846,0.001826,-0.014962,0.001826,-0.023135,0.001826
rs1016,-0.022932,0.001826,-0.012344,0.001826,-0.010315,0.001826
rs1017,-0.039386,0.001826,-0.015647,0.001826,-0.023144,0.001826
rs1018,-0.033265,0.001826,-0.011907,0.001826,-0.017178,0.001826
rs1019,0.026823,0.001826,0.013764,0.001826,0.017331,0.001826
rs1020,0.027846,0.001826,0.018844,0.001826,0.022606,0.001826
rs1021,-0.046015,0.001826,-0.018831,0.001826,-0.022354,0.001826
rs1022,-0.047044,0.001826,-0.017976,0.001826,-0.025127,0.001826
rs1023,-0.056223,0.001826,-0.019964,0.001826,-0.027374,0.001826
rs1024,0.026142,0.001826,0.009131,0.001826,0.009224,0.001826
rs1025,0.040745,0.001826,0.023251,0.001826,0.035496,0.001826
rs1026,0.034565,0.001826,0.012231,0.001826,0.016301,0.001826
rs1027,0.038605,0.001826,-0.007764,0.001826,0.005107,0.001826
rs1028,0.058277,0.001826,0.020168,0.001826,0.035529,0.001826
rs1029,0.058815,0.001826,0.032167,0.001826,0.033294,0.001826
rs1030,-0.048522,0.001826,-0.006528,0.001826,-0.016152,0.001826
rs1031,0.049888,0.001826,0.021099,0.001826,0.028,0.001826
rs1032,-0.031028,0.001826,-0.012072,0.001826,-0.019895,0.001826
rs1033,0.040852,0.001826,0.018376,0.001826,0.019535,0.001826
rs1034,0.050894,0.001826,0.021924,0.001826,0.030364,0.001826
rs1035,-0.051022,0.001826,-0.017144,0.001826,-0.029615,0.001826
rs1036,0.04197,0.001826,0.014927,0.001826,0.023749,0.001826
rs1037,0.052398,0.001826,0.02966,0.001826,0.038195,0.001826
rs1038,0.054202,0.001826,0.018629,0.001826,0.028694,0.001826
rs1039,0.034138,0.001826,0.008892,0.001826,0.013142,0.001826
rs1040,-0.036758,0.001826,-0.016872,0.001826,-0.02161,0.001826
rs1041,0.032714,0.001826,0.008927,0.001826,0.016793,0.001826
rs1042,0.052884,0.001826,0.017496,0.001826,0.027552,0.001826
rs1043,0.040138,0.001826,0.004109,0.001826,0.011669,0.001826
rs1044,-0.043785,0.001826,-0.017771,0.001826,-0.022449,0.001826
rs1045,-0.038311,0.001826,-0.005918,0.001826,-0.012012,0.001826
rs1046,-0.026311,0.001826,-0.015359,0.001826,-0.017947,0.001826
rs1047,0.05756,0.001826,0.023676,0.001826,0.030683,0.001826
rs1048,-0.041853,0.001826,-0.017957,0.001826,-0.019279,0.001826
rs1049,0.06144,0.001826,0.023852,0.001826,0.032728,0.001826
rs1050,-0.026183,0.001826,-0.012605,0.001826,-0.017721,0.001826
rs1051,-0.054742,0.001826,-0.016329,0.001826,-0.028877,0.001826
rs1052,-0.029147,0.001826,-0.013913,0.001826,-0.018197,0.001826
rs1053,0.032798,0.001826,0.016776,0.001826,0.019137,0.001826
rs1054,0.047225,0.001826,0.020259,0.001826,0.026757,0.001826
rs1055,-0.048135,0.001826,-0.018072,0.001826,-0.028742,0.001826
rs1056,0.059726,0.001826,0.021459,0.001826,0.026121,0.001826
rs1057,0.058417,0.001826,0.045955,0.001826,0.052753,0.001826
rs1058,-0.059562,0.001826,-0.022869,0.001826,-0.029274,0.001826
rs1059,-0.044465,0.001826,-0.019426,0.001826,-0.024855,0.001826
rs1060,-0.034002,0.001826,-0.013032,0.001826,-0.021747,0.001826
rs1061,-0.028557,0.001826,-0.01285,0.001826,-0.016986,0.001826
rs1062,-0.034145,0.001826,-0.016369,0.001826,-0.020636,0.001826
rs1063,-0.03283,0.001826,-0.012748,0.001826,-0.016589,0.001826
rs1064,-0.042878,0.001826,-0.018531,0.001826,-0.028921,0.001826
rs1065,-0.04085,0.001826,-0.018075,0.001826,-0.021356,0.001826
rs1066,0.022602,0.001826,0.009051,0.001826,0.015735,0.001826
rs1067,0.041338,0.001826,0.016575,0.001826,0.023096,0.001826
rs1068,-0.054645,0.001826,-0.023337,0.001826,-0.020365,0.001826
rs1069,-0.04534,0.001826,-0.01673,0.001826,-0.02614,0.001826
